大阪飞脚 	 FC东京	2-2
广岛三箭 	 甲府风林	2-0
名古屋八鲸 	 松本山雅	3-3
鸟栖沙岩 	 新泻天鹅	2-1
仙台维加泰 	 山形山神	2-0
横滨水手 	 川崎前锋	1-3
神户胜利船 	 柏雷素尔	0-1
湘南海洋 	 浦和红钻	1-3
清水心跳 	 鹿岛鹿角	3-1
柏雷素尔 	 仙台维加泰	1-1
新泻天鹅 	 清水心跳	0-0
FC东京 	 横滨水手	0-0
甲府风林 	 名古屋八鲸	1-0
鹿岛鹿角 	 湘南海洋	1-2
川崎前锋 	 神户胜利船	2-2
浦和红钻 	 山形山神	1-0
鸟栖沙岩 	 大阪飞脚	1-0
松本山雅 	 广岛三箭	1-2
广岛三箭 	 浦和红钻	0-0
甲府风林 	 大阪飞脚	0-2
清水心跳 	 松本山雅	0-1
新泻天鹅 	 柏雷素尔	3-2
横滨水手 	 鸟栖沙岩	1-0
湘南海洋 	 仙台维加泰	0-0
名古屋八鲸 	 鹿岛鹿角	1-1
神户胜利船 	 FC东京	0-2
山形山神 	 川崎前锋	1-0
大阪飞脚 	 名古屋八鲸	3-1
鹿岛鹿角 	 鸟栖沙岩	3-1
仙台维加泰 	 清水心跳	2-1
山形山神 	 湘南海洋	1-2
川崎前锋 	 新泻天鹅	4-1
浦和红钻 	 松本山雅	1-0
FC东京 	 甲府风林	1-0
广岛三箭 	 神户胜利船	0-1
柏雷素尔 	 横滨水手	1-2
松本山雅 	 柏雷素尔	1-3
横滨水手 	 仙台维加泰	1-1
名古屋八鲸 	 广岛三箭	2-0
清水心跳 	 大阪飞脚	2-3
鸟栖沙岩 	 山形山神	1-0
神户胜利船 	 甲府风林	4-1
湘南海洋 	 FC东京	0-1
川崎前锋 	 浦和红钻	1-1
鹿岛鹿角 	 新泻天鹅	1-1
柏雷素尔 	 鹿岛鹿角	1-3
甲府风林 	 鸟栖沙岩	0-3
山形山神 	 松本山雅	0-0
仙台维加泰 	 川崎前锋	2-3
新泻天鹅 	 神户胜利船	2-2
FC东京 	 广岛三箭	1-2
浦和红钻 	 横滨水手	2-1
湘南海洋 	 大阪飞脚	0-2
名古屋八鲸 	 清水心跳	3-1
广岛三箭 	 清水心跳	2-0
鹿岛鹿角 	 神户胜利船	1-2
松本山雅 	 仙台维加泰	1-0
横滨水手 	 湘南海洋	3-0
鸟栖沙岩 	 柏雷素尔	1-1
浦和红钻 	 名古屋八鲸	2-1
山形山神 	 FC东京	0-1
川崎前锋 	 甲府风林	3-0
大阪飞脚 	 新泻天鹅	2-1
川崎前锋 	 柏雷素尔	1-4
清水心跳 	 山形山神	3-3
仙台维加泰 	 鹿岛鹿角	1-2
新泻天鹅 	 FC东京	0-1
大阪飞脚 	 松本山雅	1-0
神户胜利船 	 名古屋八鲸	0-1
湘南海洋 	 鸟栖沙岩	4-2
横滨水手 	 广岛三箭	1-2
甲府风林 	 浦和红钻	0-2
名古屋八鲸 	 湘南海洋	3-0
浦和红钻 	 大阪飞脚	1-0
山形山神 	 横滨水手	1-0
鹿岛鹿角 	 甲府风林	0-1
FC东京 	 川崎前锋	2-1
柏雷素尔 	 清水心跳	0-0
